mz	name
185.1547	FA(11:0)_[M-H]1-
197.1547	FA(12:1)_[M-H]1-
199.1704	FA(12:0)_[M-H]1-
209.1183	OCT(C12H18O3)_jasmonic acid_[M-H]1-
211.134	OCT(C12H20O3)_dihydrojasmonic_acid_[M-H]1-
213.186	FA(13:0)_[M-H]1-
215.1653	FA(12:0)-OH_[M-H]1-
223.134	OCT(C13H20O3)_methyl_jasmonate_[M-H]1-
225.1132	OCT(C12H18O4)_[M-H]1-
225.186	FA(14:1)_[M-H]1-
227.1289	OCT(C12H20O4)_[M-H]1-
227.2017	FA(14:0)_[M-H]1-
237.1496	OCT(C14H22O3)_[M-H]1-
239.1653	OCT(C14H24O3)_[M-H]1-
239.2017	FA(15:1)_[M-H]1-
241.2173	FA(15:0)_[M-H]1-
243.1966	FA(14:0)-OH_[M-H]1-
249.186	FA(16:3)_[M-H]1-
251.2017	FA(16:2)_[M-H]1-
253.2173	FA(16:1)_[M-H]1-
255.233	FA(16:0)_[M-H]1-
257.2122	FA(15:0)-OH_[M-H]1-
265.1809	OCT(C16H26O3)_[M-H]1-
265.2173	FA(17:2)_[M-H]1-
267.1966	OCT(C16H28O3)_[M-H]1-
267.233	FA(17:1)_[M-H]1-
268.3884	2H-IS_FA_15_[M-H]1-
269.2122	FA(16:1)-OH_[M-H]1-
269.2486	FA(17:0)_[M-H]1-
269.3944	2H-IS_FA_15_[M-H]1-
270.4003	2H-IS_FA_15_[M-H]1-
271.2279	FA(16:0)-OH_[M-H]1-
271.4036	2H-IS_FA_15_[M-H]1-
272.4068	2H-IS_FA_15_[M-H]1-
275.2017	FA(18:4)_[M-H]1-
277.2173	FA(18:3)_[M-H]1-
279.233	FA(18:2)_[M-H]1-
281.2486	FA(18:1)_[M-H]1-
283.2643	FA(18:0)_[M-H]1-
285.2435	FA(17:0)-OH_[M-H]1-
287.1653	OCT(C18H24O3)_[M-H]1-
289.1809	OCT(C18H26O3)_[M-H]1-
291.1966	OCT(C18H28O3)_[M-H]1-
293.2122	OCT(C18H30O3)_[M-H]1-
295.2279	FA(18:2)-OH_[M-H]1-
295.2643	FA(19:1)_[M-H]1-
297.2435	FA(18:1)-OH_[M-H]1-
297.2799	FA(19:0)_[M-H]1-
299.2592	FA(18:0)-OH_[M-H]1-
300.4443	2H-IS_FA_17_[M-H]1-
301.2173	FA(20:5)_[M-H]1-
301.4504	2H-IS_FA_17_[M-H]1-
302.4562	2H-IS_FA_17_[M-H]1-
303.233	FA(20:4)_[M-H]1-
303.4596	2H-IS_FA_17_[M-H]1-
304.463	2H-IS_FA_17_[M-H]1-
305.2486	FA(20:3)_[M-H]1-
307.2643	FA(20:2)_[M-H]1-
309.2071	OCT(C18H30O4)_[M-H]1-
309.2799	FA(20:1)_[M-H]1-
311.2228	OCT(C18H32O4)_[M-H]1-
311.2956	FA(20:0)_[M-H]1-
313.2384	OCT(C18H34O4)_[M-H]1-
315.1966	EIC(C20H28O3)_[M-H]1-
315.2541	EIC(C18H36O4)_[M-H]1-
317.2122	EIC(C20H30O3)_[M-H]1-
319.2279	EIC(C20H32O3)_[M-H]1-
320.2357	EIC(C20H33O3)_[M-H]1-
321.9908	EIC(C2OH3O5)_[M-H]1-
323.1864	OCT(C18H28O5)_[M-H]1-
323.2592	EIC(C20H36O3)_[M-H]1-
325.202	OCT(C18H30O5)_[M-H]1-
325.2748	FA(20:1)-OH_[M-H]1-
325.3112	FA(21:0)_[M-H]1-
327.1449	EIC(C16H24O7)_[M-H]1-
327.2177	OCT(C18H32O5)_[M-H]1-
327.233	FA(22:6)_[M-H]1-
327.2905	FA(20:0)-OH_[M-H]1-
329.1606	EIC(C16H26O7)_[M-H]1-
329.2333	OCT(C18H34O5)_[M-H]1-
329.2486	FA(22:5)_[M-H]1-
331.1915	EIC(C20H28O4)_[M-H]1-
331.249	OCT(C18H36O5)_[M-H]1-
331.2643	FA(22:4)_[M-H]1-
333.2071	EIC(C20H30O4)_[M-H]1-
333.2799	FA(22:3)_[M-H]1-
334.0828	LPC_2:0_[M+Cl]1-
334.1192	LPC-2O_3:0_[M+Cl]1-
335.2228	EIC(C20H32O4)_[M-H]1-
335.2956	FA(22:2)_[M-H]1-
337.2384	EIC(C20H34O4)_[M-H]1-
337.3112	FA(22:1)_[M-H]1-
339.1813	EIC(C18H28O6)_[M-H]1-
339.2541	EIC(C20H36O4)_[M-H]1-
339.3269	FA(22:0)_[M-H]1-
340.2857	Cer_20:1_[M-H]1-
341.197	EIC(C18H30O6)_[M-H]1-
341.2333	OCT(C19H34O5)_[M-H]1-
341.2697	EIC(C20H38O4)_[M-H]1-
343.2279	EIC(C22H32O3)_[M-H]1-
345.2283	OCT(C18H34O6)_[M-H]1-
346.0828	LPC_3:1_[M+Cl]1-
347.1864	EIC(C20H28O5)_[M-H]1-
347.2228	EIC(C21H32O4)_[M-H]1-
348.0984	PC-O_3:0_[M+Cl]1-
