mz	name
236.1129	TG_6:0_[M+NH4]1+
241.0683	TG_6:0_[M+Na]1+
300.1207	LPC_2:0_[M+H]1+
300.1571	LPC-2O_3:0_[M+H]1+
312.1207	LPC_3:1_[M+H]1+
314.1363	PC-O_3:0_[M+H]1+
314.1727	LPC-2O_4:0_[M+H]1+
324.2897	Cer_20:1_[M+H-H2O]1+
328.152	PC-O_4:0_[M+H]1+
328.1884	LPC_O-5:0_[M+H]1+
342.1312	PC_4:0_[M+H]1+
342.1676	LPC_5:0_[M+H]1+
342.3003	Cer_20:1_[M+H]1+
348.3108	MG_16:0_[M+NH4]1+
351.341	Cholesterol_[M+H-2H2O]1+
356.1833	LPC_6:0_[M+H]1+
362.3265	MG_17:0_[M+NH4]1+
365.3203	Oxocholesterol_[M+H-2H2O]1+
367.3359	Hydroxycholesterol_[M+H-2H2O]1+
369.3516	Cholesterol_[M+H-H2O]1+
370.1625	PC_6:0_[M+H]1+
370.1989	LPC_7:0_[M+H]1+
372.3108	MG_18:2_[M+NH4]1+
374.3265	MG_18:1_[M+NH4]1+
374.3827	2H-IS_CE_[M+H-H2O]1+
375.3886	2H-IS_CE_[M+H-H2O]1+
376.3421	MG_18:0_[M+NH4]1+
376.3918	2H-IS_CE_[M+H-H2O]1+
377.395	2H-IS_CE_[M+H-H2O]1+
383.3308	Oxocholesterol_[M+H-H2O]1+
384.2146	LPC_8:0_[M+H]1+
385.3465	Hydroxycholesterol_[M+H-H2O]1+
386.1938	PA_12:0_[M+NH4]1+
391.1492	PA_12:0_[M+Na]1+
394.2952	MG_20:5_[M+NH4]1+
396.251	LPC_O-10:1_[M+H]1+
396.3108	MG_20:4_[M+NH4]1+
398.1938	PC_8:0_[M+H]1+
398.2302	LPC_9:0_[M+H]1+ / LPE_12:0_[M+H]1+
404.3734	MG_20:0_[M+NH4]1+
412.2095	PE_12:0_[M+H]1+
412.2459	PC-O_10:0_[M+H]1+ / LPE_13:0_[M+H]1+
420.3108	MG_22:6_[M+NH4]1+
420.5436	2H-IS_LPC_[M+H]1+
421.5496	2H-IS_LPC_[M+H]1+
422.5554	2H-IS_LPC_[M+H]1+
423.5588	2H-IS_LPC_[M+H]1+
424.2459	LPE_14:1_[M+H]1+
424.5622	2H-IS_LPC_[M+H]1+
426.2251	PC_10:0_[M+H]1+
426.2615	LPC_11:0_[M+H]1+ / LPE_14:0_[M+H]1+
426.2979	LPC-2O_12:0_[M+H]1+
429.2248	LPG_12:0_[M+H]1+
438.2615	PC-O_12:1_[M+H]1+ / LPE_15:1_[M+H]1+
438.2979	LPE-P_16:0_[M+H]1+
439.3782	DG_24:0_[M+H-H2O]1+
440.2772	LPC_12:0_[M+H]1+ / LPE_15:0_[M+H]1+
440.3136	LPC-2O_13:0_[M+H]1+ / LPE-O_16:0_[M+H]1+
442.22	LPS_12:0_[M+H]1+
442.2564	PA_16:0_[M+NH4]1+
443.2041	PG_12:0_[M+H]1+
443.2404	LPG_13:0_[M+H]1+
446.1938	PC_12:2_[M+H]1+
446.2513	LPG_12:0_[M+NH4]1+
447.2118	PA_16:0_[M+Na]1+
451.2067	LPG_12:0_[M+Na]1+
452.2772	PC-O_13:1_[M+H]1+ / LPE_16:1_[M+H]1+
452.3136	LPC-O_14:1_[M+H]1+
454.2564	PC_12:0_[M+H]1+
454.2928	LPC_13:0_[M+H]1+ / LPE_16:0_[M+H]1+
454.3292	LPC-2O_14:0_[M+H]1+
455.2404	LPG_14:1_[M+H]1+
456.1993	PS_12:0_[M+H]1+
456.2357	LPS_13:0_[M+H]1+
457.2561	LPG_14:0_[M+H]1+
460.2306	PG_12:0_[M+NH4]1+
460.267	LPG_13:0_[M+NH4]1+
462.4306	Cer_30:2_[M+H-H2O]1+
464.202	LPS_12:0_[M+Na]1+
464.2772	LPE_17:2_[M+H]1+
464.4462	Cer_30:1_[M+H-H2O]1+
465.186	PG_12:0_[M+Na]1+
465.2224	LPG_13:0_[M+Na]1+
466.2928	LPC_14:1_[M+H]1+ / LPE_17:1_[M+H]1+
466.3292	LPC-P_15:0_[M+H]1+ / LPE-O_18:1_[M+H]1+
