"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"FA(11:0)_[M-H]1-"	185.1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FA(12:1)_[M-H]1-"	197.1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FA(12:0)_[M-H]1-"	199.1704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OCT(C12H18O3)_jasmonic acid_[M-H]1-"	209.1183	0.00690000000000168	0	-0.000399999999984857	-0.000499999999988177	-0.000799999999998136	-0.000799999999998136	-0.000499999999988177	-0.000299999999981537	-0.000699999999994816	-0.000699999999994816	-0.000499999999988177	-0.00370000000000914	0	-0.000399999999984857
"OCT(C12H20O3)_dihydrojasmonic_acid_[M-H]1-"	211.134	0	0	-0.000500000000016598	-0.000600000000019918	-0.000800000000026557	-0.000700000000023238	-0.000700000000023238	-0.000500000000016598	-0.000700000000023238	-0.000700000000023238	-0.00010000000000332	0	-0.000400000000013279	-0.000300000000009959
"FA(13:0)_[M-H]1-"	213.186	0	-0.00010000000000332	-0.000399999999984857	-0.000599999999991496	-0.000799999999998136	-0.000699999999994816	-0.000599999999991496	-0.000499999999988177	-0.000699999999994816	-0.000699999999994816	-0.000200000000006639	0	-0.000599999999991496	-0.000399999999984857
"FA(12:0)-OH_[M-H]1-"	215.1653	0.000400000000013279	0.000599999999991496	-0.000300000000009959	-0.000799999999998136	-0.000799999999998136	-0.000900000000001455	-0.000499999999988177	-0.000799999999998136	-0.000799999999998136	-0.000799999999998136	-0.00010000000000332	0	-0.00010000000000332	-0.000399999999984857
"OCT(C13H20O3)_methyl_jasmonate_[M-H]1-"	223.134	0	-0.00010000000000332	-0.000700000000023238	-0.000800000000026557	-0.000900000000001455	-0.000900000000001455	-0.000900000000001455	-0.000600000000019918	-0.000800000000026557	-0.000800000000026557	9.99999999748979e-05	9.99999999748979e-05	-0.000500000000016598	-0.000400000000013279
"OCT(C12H18O4)_[M-H]1-"	225.1132	0.00010000000000332	-0.000299999999981537	-0.000599999999991496	-0.000799999999998136	-0.000900000000001455	-0.000900000000001455	-0.000799999999998136	-0.000699999999994816	-0.00100000000000477	-0.000799999999998136	-0.000299999999981537	-0.00010000000000332	-0.000599999999991496	-0.000599999999991496
"FA(14:1)_[M-H]1-"	225.186	0.00140000000001805	-0.000299999999981537	-0.000799999999998136	-0.000799999999998136	-0.000900000000001455	-0.00100000000000477	-0.000900000000001455	-0.000699999999994816	-0.00100000000000477	-0.00100000000000477	-0.000399999999984857	0	-0.000699999999994816	-0.000799999999998136
"OCT(C12H20O4)_[M-H]1-"	227.1289	-0.00010000000000332	-0.000200000000006639	-0.000700000000023238	-0.00100000000000477	-0.00110000000000809	-0.000900000000001455	-0.000900000000001455	-0.000700000000023238	-0.00100000000000477	-0.00110000000000809	-0.000300000000009959	-0.00010000000000332	-0.000900000000001455	-0.000600000000019918
"FA(14:0)_[M-H]1-"	227.2017	-0.00010000000000332	-0.000200000000006639	-0.000600000000019918	-0.000799999999998136	-0.000900000000001455	-0.000799999999998136	-0.000799999999998136	-0.000600000000019918	-0.000900000000001455	-0.000900000000001455	-0.000300000000009959	-0.00010000000000332	-0.000700000000023238	-0.000500000000016598
"OCT(C14H22O3)_[M-H]1-"	237.1496	-0.000799999999998136	-0.000600000000019918	-0.000799999999998136	-0.000600000000019918	-0.00120000000001141	-0.00110000000000809	-0.000699999999994816	-0.000900000000001455	-0.00120000000001141	-0.00130000000001473	-0.000699999999994816	0	-0.00100000000000477	-0.00120000000001141
"OCT(C14H24O3)_[M-H]1-"	239.1653	-0.000599999999991496	-0.000200000000006639	-0.000799999999998136	-0.000499999999988177	-0.00110000000000809	-0.00100000000000477	-0.00100000000000477	-0.00110000000000809	-0.00110000000000809	-0.00129999999998631	-0.000599999999991496	0	-0.00180000000000291	0.00710000000000832
"FA(15:1)_[M-H]1-"	239.2017	0.000199999999978218	-0.000300000000009959	-0.000799999999998136	-0.00110000000000809	-0.00120000000001141	-0.00120000000001141	-0.00100000000000477	-0.000900000000001455	-0.00120000000001141	-0.00130000000001473	-0.000400000000013279	-0.000799999999998136	-0.000799999999998136	-0.000400000000013279
"FA(15:0)_[M-H]1-"	241.2173	-0.000300000000009959	-0.000400000000013279	-0.000900000000001455	-0.00110000000000809	-0.00120000000001141	-0.00110000000000809	-0.00110000000000809	-0.000900000000001455	-0.00120000000001141	-0.00120000000001141	-0.000500000000016598	-0.000200000000006639	-0.00100000000000477	-0.000799999999998136
"FA(14:0)-OH_[M-H]1-"	243.1966	0	0.000599999999991496	-0.00100000000000477	-0.00110000000000809	-0.00100000000000477	-0.00120000000001141	-0.00130000000001473	-0.000900000000001455	-0.00110000000000809	-0.00140000000001805	-0.000600000000019918	0	-0.000700000000023238	-0.000900000000001455
"FA(16:3)_[M-H]1-"	249.186	0	0.000200000000006639	-0.000399999999984857	-0.000599999999991496	-0.00109999999997967	-0.00109999999997967	0.00929999999999609	0.00960000000000605	-0.000399999999984857	-0.00119999999998299	0	0	0.00980000000001269	0
